step_idx,read_points,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,40.10794498026371,45.526945032179356,2.1487679481506348,44.31148910522461,2.720281947404146,52.77382303029299,94.70748403295875
1,24.903530720621347,94.72250007092953,2.540800094604492,34.61830520629883,0.8849571458995342,38.431494031101465,132.76656251773238
2,17.796411644667387,57.54355899989605,2.0156478881835938,40.209537506103516,1.874634064733982,44.53577985987067,101.64337845891714
3,17.518695909529924,51.00458301603794,1.9501760005950928,39.5162239074707,1.7480673268437386,43.63324726000428,94.21905025094748
4,20.45845380052924,85.12682700529695,2.603424072265625,41.842529296875,1.1050710454583168,46.104643028229475,130.6778514198959
5,18.061257898807526,88.8846549205482,2.439199924468994,38.56623840332031,0.9603402577340603,42.322429828345776,130.85043350607157
6,16.74438174813986,80.26329008862376,2.3572800159454346,39.18912124633789,1.7135068774223328,43.67629857733846,123.52319822832942
7,15.5543670989573,65.44456724077463,1.6717439889907837,34.185726165771484,1.5411297790706158,37.74574492126703,102.84316717460752
8,22.48908206820488,56.410931050777435,1.9662400484085083,35.03558349609375,1.534515991806984,38.88439992442727,94.94727058708668
9,14.334026258438826,82.62003492563963,2.1559998989105225,34.633758544921875,1.4685774222016335,38.6045197956264,120.87837079167366
10,18.036213237792253,70.68280503153801,2.035680055618286,34.6761589050293,1.6250601038336754,38.682790007442236,109.01970409601927
11,14.415910001844168,42.0648162253201,1.7390079498291016,35.609920501708984,1.5431130304932594,39.23813905566931,80.95685770735145
12,19.61849071085453,75.73432102799416,2.0981760025024414,34.75350570678711,1.513973344117403,38.713977206498384,114.09997608140111
13,17.635098192840815,60.57912902906537,1.9290560483932495,34.71686553955078,1.4835726469755173,38.476970978081226,98.70862326398492
14,15.90606477111578,50.90283416211605,1.7657279968261719,34.342464447021484,1.6426071524620056,38.09354919940233,88.65363375842571
15,15.694874338805676,62.36786302179098,1.8998080492019653,34.65158462524414,1.5720361843705177,38.47148222848773,100.4912918806076
16,22.649408783763647,45.637079048901796,1.7547839879989624,35.262752532958984,1.59493088722229,38.98524306714535,84.24954645708203
17,18.862371798604727,62.75714794173837,2.213696002960205,36.6987190246582,1.7018569633364677,41.122863069176674,103.37141993269324
18,17.348933033645153,41.041598189622164,1.6653759479522705,35.345951080322266,1.6054697334766388,38.97808864712715,79.65839495137334
19,15.808896161615849,59.71886683255434,1.916991949081421,34.73875045776367,1.6044089570641518,38.613214157521725,97.97901819646358
20,30.05679463967681,45.454926788806915,1.881119966506958,35.980960845947266,1.7469371668994427,40.05896393209696,85.06394476816058
21,17.10178190842271,56.923411786556244,1.93123197555542,34.320350646972656,1.4726556837558746,38.09078177437186,94.6476500928402
22,15.516475774347782,48.5428711399436,1.735327959060669,36.32227325439453,1.5155668370425701,39.93377089500427,88.11603919044137
23,17.631096299737692,44.267088640481234,1.6737920045852661,34.93328094482422,1.4905906282365322,38.44402497634292,82.36475221812725
24,36.09453793615103,62.460357788950205,2.0358400344848633,37.68681716918945,1.6202856786549091,41.76177969202399,103.80330067127943
25,20.58760914951563,61.018608044832945,1.9358400106430054,35.56390380859375,1.5211272984743118,39.366104640066624,100.03947916254401
26,18.031731247901917,76.4469956047833,2.064160108566284,35.3842887878418,1.4960011467337608,39.30616797879338,115.39144564792514
27,17.68488809466362,72.03729497268796,2.0241920948028564,34.97625732421875,1.5547811053693295,38.90894213691354,110.5925254970789
28,20.403169095516205,52.93281143531203,1.8192960023880005,36.79449462890625,1.5270495787262917,40.50485510379076,93.07365164533257
29,14.926152769476175,53.85839194059372,1.8102079629898071,34.974815368652344,1.4845528639853,38.611965253949165,92.12796813622117
30,24.561936035752296,42.91011672466993,1.7044800519943237,34.88713455200195,1.703960821032524,38.69406506419182,81.20569214969873
31,16.522339079529047,62.42826394736767,1.9872640371322632,34.898529052734375,1.5195198357105255,38.756788708269596,100.83357687294483
32,20.8922210149467,70.04993408918381,2.1688320636749268,35.94435119628906,1.6752700321376324,40.20920116454363,109.83838738128543
33,14.825853053480387,73.60867410898209,2.0823678970336914,34.84966278076172,1.5497272834181786,38.82539598271251,112.09043207019567
34,16.94915583357215,77.02386612072587,2.0263679027557373,35.231998443603516,1.6302000731229782,39.25915015861392,115.9124325402081
35,27.448186185210943,104.11016596481204,2.463808059692383,30.791807174682617,0.8764881640672684,34.52556487172842,138.2422693632543
36,19.29975114762783,87.37051114439964,2.266592025756836,35.350528717041016,0.9268959984183311,38.89580396935344,125.91452788561583
37,27.90445601567626,68.29176377505064,2.329440116882324,44.76569747924805,1.1512227356433868,48.632624093443155,116.5381241068244
38,18.180416896939278,81.43856981769204,2.577728033065796,42.791072845458984,1.0801339522004128,46.81742610409856,127.88750464841723
