step_idx,read_points,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,6.90949800036833,11.664763999760908,0.5708799958229065,15.313695907592773,0.5444250000437023,16.600067999661405,28.09376490322029
1,7.7081790000193,20.533332000013615,0.7774080038070679,16.059648513793945,0.5101419997117773,17.523337000056927,37.880530517326406
2,7.4422160000722215,11.080787000082637,0.5535039901733398,15.312095642089844,0.490159000037238,16.52376699985325,27.43654563238306
3,6.656848000147875,10.847296000065398,0.563647985458374,15.733599662780762,0.5052129999967292,16.992301999835036,27.649756648301263
4,6.6878520001409925,21.723080999890954,0.8669120073318481,16.41561508178711,0.548329000139347,18.01745700004176,39.55393708914926
5,8.148362999691017,25.53271799979484,0.9721599817276001,16.284639358520508,0.5172020000827615,17.95511499994973,43.30671934012571
6,17.10753899988049,20.804047000183346,0.8149759769439697,24.831775665283203,0.5540299998756382,26.39510600010908,47.00482864228616
7,9.081588000299234,24.13453400004073,0.8798080086708069,16.821760177612305,0.5498969999280234,18.433213000207616,42.385999186251865
8,7.817123999757314,12.879441999757546,0.6305279731750488,15.774687767028809,0.5308390000209329,17.109158000039315,29.815496739982336
9,7.750823000151286,21.742895999977918,0.8578559756278992,16.237056732177734,0.5021950000809738,17.797025000163558,39.340003707864525
10,6.648097999914171,16.449896000267472,0.6900799870491028,15.724831581115723,0.5317199997989519,17.112924000230123,33.39652756823125
11,6.5101320001303975,17.514088000098127,0.7796800136566162,16.192096710205078,0.5581650002568495,17.70954600033292,35.04402972421667
12,7.0030699998824275,20.990764000089257,0.8284159898757935,16.314111709594727,0.5256150002423965,17.856977000064944,38.65890669980217
13,7.048279999708029,22.237920999941707,0.8256959915161133,15.973600387573242,0.5003000001124747,17.477786000199558,39.53751737914354
14,7.135935999940557,23.16709000024275,0.8471360206604004,16.321792602539062,0.5179659997338604,17.85881999967387,40.853984623176075
15,7.00575500013656,13.090198000099917,0.604960024356842,15.579903602600098,0.5308400000103575,16.88972800002375,29.805901627067215
16,6.561324999893259,17.73646799983908,0.7905279994010925,16.3690242767334,0.5271929999253189,17.871637000098417,35.42321327589889
17,7.744926000214036,20.961421999800223,0.8260160088539124,15.975520133972168,0.5396040000960056,17.526521000036155,38.30256214272231
18,6.92951000019093,21.396201999777986,0.8264319896697998,16.312959671020508,0.5207760000303097,17.845201999989513,39.0563696604986
