step_idx,read_points,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,28.87982875108719,45.16299394890666,2.168287992477417,37.433982849121094,2.4645100347697735,45.64167698845267,87.22977482527494
1,23.30705989152193,92.44626900181174,2.521343946456909,33.88703918457031,1.0193269699811935,37.80848300084472,129.87397910282016
2,18.525267019867897,51.627038046717644,5.874688148498535,38.553504943847656,1.9927299581468105,46.91546596586704,98.04796109721065
3,18.64160504192114,49.76316727697849,2.5897600650787354,41.19510269165039,2.002138178795576,46.55901202932,95.5501682125032
4,18.759080674499273,81.1330252327025,2.5001919269561768,38.16191864013672,1.8268036656081676,42.9291152395308,123.62193946540356
5,20.14658972620964,83.86095194146037,2.6419520378112793,38.65507125854492,1.0332362726330757,42.75054577738047,126.19121151044965
6,16.107755713164806,77.26868707686663,2.523200035095215,37.994110107421875,1.8101809546351433,42.77260880917311,119.59617817401886
7,22.29543589055538,47.51184117048979,2.0455360412597656,37.47417449951172,1.8826420418918133,41.83889413252473,88.91419375315309
8,18.658434972167015,61.35459616780281,2.2375359535217285,37.75369644165039,1.7444239929318428,42.148263193666935,103.09025255590677
9,16.764729749411345,89.62319092825055,2.6053760051727295,35.78041458129883,0.8485210128128529,39.58223480731249,128.85750252753496
10,16.91223820671439,76.59977581351995,2.3528640270233154,37.052799224853516,1.9242209382355213,41.76455782726407,117.9296600036323
11,17.01063383370638,46.41635622829199,1.8637440204620361,36.322078704833984,1.7493530176579952,40.35043064504862,86.351531971246
12,18.412053119391203,83.06605787947774,2.406303882598877,38.460289001464844,1.5728301368653774,42.80219879001379,125.50548090040684
13,18.662570044398308,66.76669884473085,2.194528102874756,36.697662353515625,1.7034811899065971,40.995839051902294,107.36237049102783
14,19.03252024203539,54.099866189062595,2.0724799633026123,36.99068832397461,1.9777249544858932,41.449813172221184,95.14075943082571
15,17.975321039557457,68.90045525506139,2.228192090988159,36.88297653198242,1.8572239205241203,41.36580368503928,109.86884779855609
16,32.24113490432501,50.210264045745134,2.0015039443969727,37.23468780517578,1.8016928806900978,41.47875774651766,91.24814867600799
17,34.18169403448701,68.36986821144819,2.382143974304199,39.656192779541016,1.8806061707437038,44.41098170354962,112.28881113603711
18,17.180351074784994,45.15401693060994,1.8649280071258545,36.19059371948242,1.7680488526821136,40.22972704842687,84.97758750990033
19,19.891826901584864,65.95239089801908,2.146048069000244,36.13385772705078,1.7178580164909363,40.382036939263344,105.95015471056104
20,20.963675808161497,50.00167014077306,1.9135040044784546,35.78361511230469,1.80447893217206,39.90829735994339,89.50326818972826
21,19.798722118139267,62.577315140515566,2.2083520889282227,36.35612869262695,1.7220331355929375,40.7259427011013,102.86382905766368
22,18.60413933172822,53.00909606739879,1.9711999893188477,36.538272857666016,1.7436351627111435,40.65103596076369,93.2622040770948
23,19.81207635253668,48.32044988870621,2.0466558933258057,36.76921463012695,1.7603295855224133,41.04241728782654,88.89664999768138
24,18.06523697450757,67.81934620812535,2.2317121028900146,36.984352111816406,1.7938828095793724,41.45039105787873,108.82929323241115
25,20.81201132386923,70.86364924907684,2.3686399459838867,43.49116897583008,1.867158804088831,48.208996187895536,118.59061697497964
26,26.743819005787373,85.9914687462151,2.728032112121582,36.89081573486328,1.0225418955087662,41.106184013187885,126.63285848870873
27,18.867192789912224,79.46667913347483,2.5248000621795654,38.674625396728516,1.8381900154054165,43.46603015437722,122.50429460778832
28,14.37543099746108,58.73653292655945,2.1220479011535645,37.919166564941406,1.7784791998565197,42.26474557071924,100.55622659251094
29,16.672596335411072,60.172304045408964,2.152895927429199,38.47942352294922,1.7298688180744648,42.76865487918258,102.53449231386185
30,18.716507125645876,48.02437266334891,1.936095952987671,37.17238235473633,1.7776940949261189,41.394290048629045,88.91054506599903
31,16.972252167761326,64.78776084259152,2.224735975265503,37.5557746887207,1.8070847727358341,42.01984591782093,106.37535627931356
32,20.107985008507967,81.11279830336571,2.4023358821868896,37.47737503051758,1.8426706083118916,42.13866079226136,122.83517982438207
33,14.65336186811328,85.81520710140467,2.402463912963867,39.360321044921875,0.8892188780009747,43.00101287662983,128.46721093729138
34,48.36189700290561,110.47730082646012,1.4860479831695557,24.790016174316406,0.8662082254886627,27.39272778853774,137.61957320943475
35,23.5458230599761,80.34751424565911,2.411168098449707,37.359745025634766,1.5697553753852844,41.72590421512723,121.68818274512887
36,15.617005992680788,137.6654813066125,1.3741120100021362,23.87299156188965,0.7932400330901146,26.25262923538685,163.7058249115944
