step_idx,read_points,cpu_prepare,data_to_gpu,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,10.102214000198728,0.6789819999539759,0.6468360002145346,1.814535999983491,0.16211199760437012,11.475680351257324,0.5244330000095943,12.32260300002963,15.30257934902329
1,8.900881000045047,0.6077050002204487,0.14481499965768307,1.5370930000244698,0.16009600460529327,11.393280029296875,0.4779830001098162,12.160445000063191,14.320972033914586
2,7.898940999893966,0.5798870001854084,0.17359999992550001,1.6579820003244095,0.15996800363063812,11.096320152282715,0.4867849997935991,11.877793000167003,14.15454215614227
3,6.210739999914949,0.5323929999576649,0.1391989999319776,1.5461620000678522,0.16944000124931335,11.087008476257324,0.4795889999513747,11.864480999975058,13.953791477415507
4,7.0038469998507935,0.5282500001158041,0.14025300015418907,1.5176289998635184,0.15913599729537964,11.305791854858398,0.5007229997318063,12.091309999959776,14.151782852019096
5,7.584207000036258,0.6133589999990363,0.16001900030460092,1.6341209998245176,0.16140800714492798,11.418975830078125,0.4731570002149965,12.183243999970728,14.461039837566204
6,6.877865999740607,0.634222999906342,0.14169699988997309,1.5277289999175991,0.1560640037059784,11.182271957397461,0.47087600023587584,11.927502000162349,14.11286096105323
7,6.776936999813188,0.5982229999972333,0.16248199972324073,1.603140000042913,0.16944000124931335,11.448127746582031,0.5039590000706085,12.260622000212607,14.48537174766534
8,7.446608999998716,0.5221179999352898,0.14869599999656202,1.5481030000046303,0.1598079949617386,11.048224449157715,0.47746100017320714,11.807184999724996,13.904410444229143
9,7.0825729999342,0.5473040000651963,0.13911599990024115,1.5197719999378023,0.15811200439929962,11.336959838867188,0.4623449999598961,12.075678000201151,14.163608843129623
10,6.325749000097858,0.4693509999924572,0.13215299986768514,1.4863179999338172,0.15571199357509613,10.973567962646484,0.4614629997377051,11.705741999776365,13.678564955753245
11,5.956754999715486,0.5598130001089885,0.1457969997318287,1.4906219998920278,0.1533759981393814,10.970815658569336,0.47797599972909666,11.719065000306728,13.798399656170659
12,7.280667000031826,0.5618750001303852,0.1366500000585802,1.478840999880049,0.1595200002193451,11.26972770690918,0.4511610000008659,11.99545899999066,14.057774707198405
13,7.614962999923591,0.5896160000702366,0.13068499993096339,1.4292199998635624,0.15123200416564941,10.923839569091797,0.4465609999897424,11.632921000000351,13.671153573111951
14,7.371137000063754,0.5762949999734701,0.13374599984672386,1.4155180001580447,0.1515520066022873,11.081343650817871,0.43231100016782875,11.783816999923147,13.790765657566226
15,7.399877000352717,0.5200819996389328,0.1439850002498133,1.4926520002518373,0.15328000485897064,11.099136352539062,0.5036349998590595,11.87957699994513,13.912770357397676
16,8.00916700018206,0.5034939999859489,0.13816599994243006,1.5090580000105547,0.15827199816703796,11.255135536193848,0.46594199966421,12.00246700000207,14.03006753396403
17,6.52243600006841,0.5694799997399969,0.13247200013211113,1.4532710001731175,0.1621759980916977,10.878175735473633,0.43779799989351886,11.600079000345431,13.633372733504075
18,6.721616999584512,0.47576499991919263,0.12937400015289313,1.473991999773716,0.1536639928817749,11.217215538024902,0.45549300011771265,11.938484999973298,13.905503530870192
19,6.543196000166063,0.5799830000796646,0.13390999993134756,1.4731100000062725,0.15747199952602386,11.024160385131836,0.4440040002009482,11.743988000034733,13.812639384876093
20,7.029914000213466,0.596843000039371,0.13484700002663885,1.4742809999006568,0.15651200711727142,10.888480186462402,0.4411029999573657,11.60185900016586,13.692066193503706
21,6.460623999828385,0.5482030001076055,0.13423100017462275,1.4328430002024106,0.1494400054216385,11.009056091308594,0.42960800010405364,11.69732100015608,13.703381097318925
22,7.290977999673487,0.5640109998239495,0.1405989996783319,1.442786999632517,0.15171200037002563,10.974592208862305,0.43084800017823,11.66654999997263,13.704549208545359
23,7.695666000017809,0.5528400001821865,0.1379700001962192,1.4905180000823748,0.16169600188732147,11.270208358764648,0.49125199984700885,12.04127899973173,14.10448436095976
24,7.885004999934608,0.6001019996801915,0.19422200011831592,1.663744999859773,0.1682240068912506,11.443967819213867,0.5036009997638757,12.255875999926502,14.573861825527274
25,7.278314999894064,0.5894770001759753,0.1547870001559204,1.5902400000413763,0.1717119961977005,11.24182415008545,0.4896689997622161,12.036029000228154,14.237709146418638
26,7.432214999880671,0.6424969997169683,0.1689499999883992,1.5963050000209478,0.17292800545692444,11.336064338684082,0.4677510000874463,12.1083499998349,14.384495343954768
27,7.656205999865051,0.5407280000326864,0.14542299959430238,1.5612149995831714,0.1555200070142746,11.081055641174316,0.4660939998757385,11.825851999674342,13.95003564727449
28,6.907316999786417,0.5927740003244253,0.1561809999657271,1.6010639997148246,0.15929600596427917,10.869536399841309,0.4472810001061589,11.596747000112373,13.826132405916724
29,7.9230760002246825,0.5548019998968812,0.13639100006912486,1.5283249999811233,0.15855999290943146,10.782655715942383,0.4307449999032542,11.490826999761339,13.591478708702198
30,6.924799999978859,0.5809099998259626,0.13235999995231396,1.4679440000691102,0.15123200416564941,10.835647583007812,0.7091229999787174,11.810252000032051,13.877216586999566
31,9.395070999744348,0.5397639997681836,0.13998400027048774,1.5222510000967304,0.16153599321842194,11.206975936889648,0.45142900034989,11.937172000216378,14.021939930593362
32,6.551919999765232,0.5809470003441675,0.14388799991138512,1.5552920003756299,0.1610880047082901,11.172320365905762,0.46008700019228854,11.91260100040381,14.073622371437523
33,6.570141999873158,0.530538000020897,0.1469519997954194,1.5157739999267505,0.15936000645160675,11.076448440551758,0.46550900015063235,11.820109999916895,13.894581446897064
34,7.589929999994638,0.5168200000298384,0.1306630001636222,1.5173719998529123,0.15929600596427917,11.155072212219238,0.46731299971725093,11.898701000063738,13.946536217947141
35,7.36684299999979,0.5605940000350529,0.13200600005802698,1.4638820002801367,0.166143998503685,10.993311882019043,0.46468100026686443,11.734940999758692,13.780618881162809
36,6.557637000241812,0.4657840004256286,0.1266499998564541,1.4454150000347,0.1544319987297058,11.040224075317383,0.47706800023661344,11.786026999743626,13.709573074600485
37,6.809445000271808,0.44249700022191973,0.1377039998260443,1.5429710001626518,0.15465599298477173,11.073087692260742,0.46026400013943203,11.804712999946787,13.811179685595562
38,6.625625000197033,0.497466000069835,0.13333500010048738,1.4991379998718912,0.158720001578331,11.048704147338867,0.4492969997045293,11.77573199993276,13.786660148663941
39,7.033480999780295,0.5155839999133605,0.13739899986831006,1.513364999937039,0.15574400126934052,11.788736343383789,0.4511619999902905,12.51046299967129,14.56199034436213
40,7.721363999735331,0.5460039997160493,0.1339959999313578,1.5050279998831684,0.1650879979133606,11.23855972290039,0.45108399990567705,11.9728730001043,14.039759720250004
41,6.786865999856673,0.557120999928884,0.15134200020838762,1.5371549998235423,0.15756799280643463,11.233728408813477,0.4614469999069115,11.982572999841068,14.098361401487637
42,7.3856149997482134,0.5519920000551792,0.13791499986837152,1.4636509999945702,0.1544959992170334,11.090335845947266,0.44989200023337617,11.806527000317146,13.848281845315796
43,7.205727999917144,0.5780129999948258,0.14793000036661397,1.552365999941685,0.1693120002746582,11.106016159057617,0.46829799975967035,11.865030999615556,14.02193515939507
44,6.454990000293037,0.5561540001508547,0.13543300019591697,1.5074130001266894,0.16457599401474,11.127679824829102,0.4459970000425528,11.854871000195999,13.937252819359855
45,7.484363999992638,0.5338109999684093,0.14185600002747378,1.4515130001200305,0.15401600301265717,11.168095588684082,0.4380020000098739,11.871088000134478,13.887293591822527
46,6.956628000352794,0.5081760000393842,0.13751599999523023,1.4467699998022,0.15276800096035004,10.901887893676758,0.46438400022452697,11.630840000179887,13.61150189469845
47,9.71118299958107,0.5744730001424614,0.143062999995891,1.518307999958779,0.1621440052986145,11.152128219604492,0.45973100031915237,11.893711999618972,14.00984722531939
