timestamp_s,gpu_power_W,cpu_power_W
13.8829,61.98,0.00
13.9368,66.86,0.00
13.9921,66.86,0.00
14.0506,69.51,0.00
14.1048,63.95,0.00
14.1828,63.95,0.00
14.2402,55.38,0.00
14.2956,55.38,0.00
14.3564,66.36,0.00
14.4136,66.36,0.00
14.4683,70.80,0.00
14.5228,70.80,0.00
14.5796,68.60,0.00
14.6391,72.47,0.00
14.6929,72.47,0.00
14.7463,66.93,0.00
14.8030,66.93,0.00
14.8584,65.93,0.00
14.9129,65.93,0.00
14.9670,78.03,0.00
15.0246,78.03,0.00
15.0811,63.35,0.00
15.1352,64.75,0.00
15.1896,64.75,0.00
15.2478,73.03,0.00
15.3055,73.03,0.00
15.3616,70.32,0.00
15.4152,70.32,0.00
15.4716,67.55,0.00
15.5269,67.55,0.00
15.5816,70.61,0.00
15.6344,70.61,0.00
15.6899,55.74,0.00
15.7430,59.95,0.00
15.7979,59.95,0.00
15.8553,72.58,0.00
15.9136,72.58,0.00
15.9672,61.29,0.00
16.0213,61.29,0.00
16.0794,62.92,0.00
16.1403,62.92,0.00
16.1937,65.79,0.00
16.2486,65.79,0.00
16.3035,72.28,0.00
16.3639,73.08,0.00
16.4235,73.08,0.00
16.4776,74.21,0.00
16.5308,74.21,0.00
16.5863,65.09,0.00
16.6448,65.09,0.00
16.6988,74.69,0.00
16.7532,74.69,0.00
16.8106,71.39,0.00
16.8669,77.48,0.00
16.9216,77.48,0.00
16.9758,66.27,0.00
17.0332,66.27,0.00
17.0930,63.95,0.00
17.1472,63.95,0.00
17.2005,75.43,0.00
17.2547,75.43,0.00
17.3161,70.31,0.00
17.3697,63.85,0.00
17.4240,63.85,0.00
17.4782,70.40,0.00
17.5439,70.40,0.00
17.6015,71.70,0.00
17.6579,71.70,0.00
17.7111,65.19,0.00
