step_idx,read_points,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,32.87400398403406,46.37353029102087,2.322432041168213,39.99135971069336,4.010411910712719,50.59216730296612,92.69773395359516
1,23.252897895872593,96.27260081470013,2.91811203956604,33.837249755859375,1.1231978423893452,38.36711309850216,134.1511604525149
2,19.27792001515627,52.72321403026581,2.1533119678497314,39.978271484375,1.9648559391498566,44.58052525296807,96.8196534216404
3,21.003784146159887,50.109281204640865,2.1216320991516113,39.15468978881836,1.8745418637990952,43.61580312252045,93.26014495640993
4,18.825394101440907,85.73458436876535,2.66483211517334,37.95395278930664,1.0336660780012608,42.102031875401735,127.3870353512466
5,18.6168123036623,87.34800899401307,2.5986239910125732,36.46147155761719,1.5462790615856647,41.10605362802744,127.9543836042285
6,14.404086861759424,61.26028439030051,2.006432056427002,31.057504653930664,1.5277029015123844,35.031620878726244,95.85192400217056
7,11.742121074348688,23.922780994325876,1.1631040573120117,25.176767349243164,1.1383011005818844,27.757763862609863,51.400953501462936
8,9.357241913676262,39.52732915058732,1.521664023399353,35.983551025390625,1.727985218167305,39.593081921339035,78.7605294175446
9,12.182277161628008,79.79080686345696,2.4817919731140137,35.89263916015625,1.7265663482248783,40.52333300933242,119.8918043449521
10,20.81351401284337,78.47968908026814,2.3582398891448975,37.072513580322266,1.9243741407990456,41.78509674966335,119.83481669053435
11,15.180342830717564,42.181889060884714,1.6664639711380005,32.531070709228516,1.5559205785393715,36.127439234405756,77.9353443197906
12,20.773723255842924,75.91297524049878,2.1971518993377686,33.18940734863281,1.5977220609784126,37.40278910845518,112.89725654944777
13,17.432551831007004,61.141051817685366,1.9473919868469238,32.91961669921875,1.616091001778841,36.884543020278215,97.62415150552988
14,17.089366912841797,51.26093700528145,1.8262399435043335,32.342430114746094,1.7579798586666584,36.32294526323676,87.18758692219853
15,23.024033289402723,62.72332603111863,1.9605439901351929,32.52336120605469,1.799067948013544,36.67068015784025,99.00629917532206
16,17.692842986434698,45.17136001959443,1.6898239850997925,33.173057556152344,2.2126371040940285,37.43630601093173,82.2468786649406
17,19.6278877556324,62.4604900367558,1.9231359958648682,32.50969696044922,1.5931269153952599,36.39464685693383,98.48644990846515
18,18.19020602852106,41.10469622537494,1.6478079557418823,31.687776565551758,1.5923362225294113,35.287718288600445,76.03261696919799
19,15.894897282123566,60.19155913963914,1.8696320056915283,31.694368362426758,1.5475032851099968,35.46437807381153,95.30306279286742
20,32.04544307664037,45.46770500019193,1.747167944908142,31.857311248779297,1.6383500769734383,35.60909116640687,80.7105342708528
