run_id,timestamp_iso,variant_name,experiment_cell_id,model_variant,precision_mode,experiment_status,model_name,config_path,checkpoint_path,gpu_name,driver_version,cuda_version,pytorch_version,commit_hash,batch_size,warmup_steps,measured_steps,num_workers,cuda_id,dataset_note,split_note,frame_source_note,flag_compile,flag_amp,flag_preprocess_gpu,flag_compile_voxelizer,flag_nhwc,flag_memory_opt_scatter,flag_int8,flag_fp16_full,notes_amp_compile_mutually_exclusive,energy_method,prof_dataloader_mean_ms,prof_dataloader_p50_ms,prof_dataloader_p95_ms,prof_dataloader_p99_ms,prof_dataloader_std_ms,prof_h2d_mean_ms,prof_h2d_p50_ms,prof_h2d_p95_ms,prof_h2d_p99_ms,prof_h2d_std_ms,prof_read_points_mean_ms,prof_read_points_p50_ms,prof_read_points_p95_ms,prof_read_points_p99_ms,prof_read_points_std_ms,prof_cpu_prepare_mean_ms,prof_cpu_prepare_p50_ms,prof_cpu_prepare_p95_ms,prof_cpu_prepare_p99_ms,prof_cpu_prepare_std_ms,prof_data_to_gpu_pts_mean_ms,prof_data_to_gpu_pts_p50_ms,prof_data_to_gpu_pts_p95_ms,prof_data_to_gpu_pts_p99_ms,prof_data_to_gpu_pts_std_ms,prof_pre_processing_mean_ms,prof_pre_processing_p50_ms,prof_pre_processing_p95_ms,prof_pre_processing_p99_ms,prof_pre_processing_std_ms,prof_h2d_voxel_tail_mean_ms,prof_h2d_voxel_tail_p50_ms,prof_h2d_voxel_tail_p95_ms,prof_h2d_voxel_tail_p99_ms,prof_h2d_voxel_tail_std_ms,prof_forward_mean_ms,prof_forward_p50_ms,prof_forward_p95_ms,prof_forward_p99_ms,prof_forward_std_ms,prof_postprocess_mean_ms,prof_postprocess_p50_ms,prof_postprocess_p95_ms,prof_postprocess_p99_ms,prof_postprocess_std_ms,prof_full_frame_mean_ms,prof_full_frame_p50_ms,prof_full_frame_p95_ms,prof_full_frame_p99_ms,prof_full_frame_std_ms,prof_throughput_sps,prof_peak_gpu_memory_mb,prof_peak_gpu_memory_steady_mb,prof_t_rt_mean_ms,prof_mean_peak_gpu_memory_mb,prof_cuda_kernel_events,profile_output_dir,profile_latency_per_step_csv,energy_forward_mean_ms,energy_forward_p50_ms,energy_forward_p95_ms,energy_forward_p99_ms,energy_throughput_sps,energy_wall_time_s,energy_mean_power_W,energy_peak_power_W,energy_total_J,energy_samples_per_J,energy_samples_per_s_per_W,energy_output_dir,energy_samples_csv,energy_latency_per_step_csv,map_car_r11,kitti_car_3d_easy_r40,kitti_car_3d_moderate_r40,kitti_car_3d_hard_r40,eval_protocol_notes,ncu_report_path,ncu_top_kernel_name,ncu_roofline_bound,ncu_compute_intensity_flop_per_byte,ncu_dram_throughput_gbps,ncu_mem_throughput_pct_of_peak
a949bde0327c,2026-04-23T00:29:48.189027+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,8.76,8.31,10.74,14.08,2.56,,,,,,0.71,0.71,0.86,0.94,0.12,22.06,21.93,29.95,32.81,5.15,,,,,,14.21,14.18,14.64,15.2,0.81,0.6,0.58,0.66,0.85,0.06,15.71,15.67,16.35,17.65,0.89,26.6,292.9,292.9,37.58,292.7,771226,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_FP32/profile/latency_per_step.csv,12.65,12.11,14.85,15.71,63.34,15.79,132.1,143.2,2085.76,0.4794,0.4797,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_FP32/energy/energy_latency_per_step.csv,84.8182,91.7877,84.8182,81.4698,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
b24877889b6a,2026-04-23T00:38:52.191381+00:00,M0_AMP,M0_AMP,M0,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,9.75,9.49,11.98,14.25,1.84,,,,,,0.73,0.72,0.86,0.93,0.37,22.44,22.32,31.11,34.52,5.36,,,,,,12.32,12.24,13.17,14.53,0.47,0.6,0.59,0.63,0.8,0.06,13.85,13.75,14.73,16.3,0.97,27.7,265.9,265.9,36.09,265.3,862715,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_AMP/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_AMP/profile/latency_per_step.csv,9.48,8.78,12.03,12.83,60.24,16.60,104.8,117.1,1739.42,0.5749,0.5750,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_AMP/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_AMP/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M0_AMP/energy/energy_latency_per_step.csv,84.7953,91.7612,84.7953,81.4553,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
2b5113dd4af3,2026-04-23T00:51:10.563273+00:00,M1_FP32,M1_FP32,M1,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,true,false,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,9.1,8.95,10.78,11.64,1.33,,,,,,0.72,0.72,0.85,0.92,0.11,22.28,22.13,30.85,33.3,5.22,,,,,,13.87,13.84,14.2,14.86,0.34,0.59,0.59,0.63,0.68,0.05,15.37,15.34,15.82,16.76,0.4,26.7,14138.7,14138.7,37.46,10729.7,578430,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_FP32/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_FP32/profile/latency_per_step.csv,11.72,11.06,14.32,15.19,85.36,11.69,160.5,131.2,1876.66,0.5318,0.5318,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_FP32/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_FP32/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_FP32/energy/energy_latency_per_step.csv,84.8182,91.7877,84.8182,81.4698,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
951f05763529,2026-04-23T01:03:21.211677+00:00,M1_AMP,M1_AMP,M1,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,true,true,false,false,false,false,false,false,M1_AMP: torch.compile + autocast(fp16); use generous --warmup for steady latency/energy (dynamo may recompile; short runs can skew energy p99).,nvml_integrated,,,,,,,,,,,9.2,9.02,10.98,12.18,1.65,,,,,,0.72,0.71,0.85,0.91,0.13,22.32,22.16,30.9,32.93,5.25,,,,,,11.16,10.93,12.34,14.29,0.76,0.59,0.59,0.63,0.66,0.06,12.65,12.44,13.92,15.74,0.8,28.7,13944.6,13944.6,34.79,10531.9,573069,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_AMP/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_AMP/profile/latency_per_step.csv,8.33,7.52,11.72,13.33,120.09,8.31,176.7,98.6,1468.45,0.6796,0.6796,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_AMP/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_AMP/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M1_AMP/energy/energy_latency_per_step.csv,84.7953,91.7612,84.7953,81.4553,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
7bba915133fa,2026-04-23T01:12:03.290564+00:00,M2_FP32_mem_scatter,M2_FP32_mem_scatter,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,false,true,false,false,,nvml_integrated,,,,,,,,,,,9.76,9.57,11.61,13.18,1.58,,,,,,0.7,0.69,0.82,0.9,0.12,22.29,22.13,30.66,33.21,5.21,,,,,,15.33,15.33,15.67,16.37,0.29,0.59,0.58,0.63,1.08,0.06,16.8,16.81,17.28,18.18,0.4,25.7,292.9,292.9,38.91,292.7,772226,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_scatter/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_scatter/profile/latency_per_step.csv,13.80,13.24,16.03,16.84,61.17,16.35,140.0,151.1,2289.35,0.4368,0.4369,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_scatter/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_scatter/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_scatter/energy/energy_latency_per_step.csv,84.8182,91.7877,84.8182,81.4698,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
37ebfb4d7611,2026-04-23T01:20:42.205965+00:00,M2_FP32_mem_conv2d,M2_FP32_mem_conv2d,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,true,false,false,false,,nvml_integrated,,,,,,,,,,,9.79,9.67,11.72,12.54,1.49,,,,,,0.7,0.69,0.83,0.89,0.13,22.3,22.24,30.85,33.19,5.24,,,,,,15.2,15.19,15.54,16.28,0.33,0.58,0.58,0.62,0.68,0.04,16.66,16.65,17.15,18.8,0.44,25.8,294.0,294.0,38.78,293.7,769252,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_conv2d/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_conv2d/profile/latency_per_step.csv,13.66,13.09,15.98,16.83,60.65,16.49,133.0,146.1,2193.46,0.4559,0.4559,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_conv2d/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_conv2d/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_conv2d/energy/energy_latency_per_step.csv,84.8166,91.7809,84.8166,81.4571,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
7d0aca1ea475,2026-04-23T01:29:37.792508+00:00,M2_FP32_mem_both,M2_FP32_mem_both,M2,FP32,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,false,false,false,true,true,false,false,,nvml_integrated,,,,,,,,,,,9.82,9.66,11.69,12.85,1.36,,,,,,0.7,0.7,0.83,0.89,0.09,22.32,22.17,30.9,33.11,5.25,,,,,,16.41,16.41,16.73,17.74,0.31,0.59,0.58,0.63,0.72,0.05,17.88,17.87,18.36,19.59,0.4,25.0,294.0,294.0,40.02,293.7,770252,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_both/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_both/profile/latency_per_step.csv,15.08,14.38,17.38,18.44,60.41,16.55,142.3,151.5,2356.36,0.4244,0.4244,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_both/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_both/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_FP32_mem_both/energy/energy_latency_per_step.csv,84.8166,91.7809,84.8166,81.4571,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
e6e8cfc72c25,2026-04-23T01:38:43.609022+00:00,M2_AMP_mem_scatter,M2_AMP_mem_scatter,M2,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,false,true,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,9.99,9.81,12.01,13.61,1.57,,,,,,0.71,0.71,0.86,0.94,0.09,22.51,22.38,30.64,33.76,5.26,,,,,,12.21,12.12,13.13,14.13,0.45,0.6,0.59,0.66,0.75,0.06,13.71,13.64,14.65,15.72,0.53,27.8,265.9,265.9,36.03,265.3,863715,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_scatter/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_scatter/profile/latency_per_step.csv,9.99,9.48,11.93,12.46,60.27,16.59,110.7,121.8,1837.00,0.5444,0.5444,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_scatter/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_scatter/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_scatter/energy/energy_latency_per_step.csv,84.7953,91.7612,84.7953,81.4553,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
c7f4b9815187,2026-04-23T01:47:41.972496+00:00,M2_AMP_mem_conv2d,M2_AMP_mem_conv2d,M2,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,true,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,10.08,9.68,12.18,20.93,2.41,,,,,,0.71,0.71,0.86,1.0,0.15,22.53,22.25,31.33,33.54,5.49,,,,,,11.87,11.74,12.78,14.2,0.79,0.6,0.58,0.65,1.01,0.07,13.37,13.23,14.28,16.14,0.9,28.0,183.1,183.1,35.71,182.8,819715,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_conv2d/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_conv2d/profile/latency_per_step.csv,9.92,9.24,12.33,13.25,60.10,16.64,102.3,113.2,1701.89,0.5876,0.5876,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_conv2d/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_conv2d/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_conv2d/energy/energy_latency_per_step.csv,84.7884,91.7600,84.7884,81.4417,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
3777164ef523,2026-04-23T01:56:39.700561+00:00,M2_AMP_mem_both,M2_AMP_mem_both,M2,AMP,measured,PointPillars,/opt/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/opt/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA A10G,580.95.05,11.8,2.1.2+cu118,,1,1000,1000,2,0,,,,false,true,false,false,true,true,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,9.95,9.74,11.92,13.89,1.72,,,,,,0.68,0.69,0.82,0.89,0.09,22.44,22.32,31.27,33.73,5.29,,,,,,12.27,12.23,12.69,13.95,0.33,0.59,0.58,0.63,1.08,0.08,13.71,13.68,14.23,15.57,0.43,27.8,183.1,183.1,35.98,182.8,820715,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_both/profile,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_both/profile/latency_per_step.csv,10.55,9.97,12.65,13.21,60.28,16.59,108.4,121.4,1798.02,0.5562,0.5562,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_both/energy,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_both/energy/energy_samples.csv,/__modal/volumes/vo-IonADsHkUVjfGkodF5a2qa/modal_v4_a10/M2_AMP_mem_both/energy/energy_latency_per_step.csv,84.7884,91.7600,84.7884,81.4417,"KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
