step_idx,read_points,cpu_prepare,data_to_gpu,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,10.176282000429637,0.647760999527236,0.517662999300228,1.630771999771241,0.13334399461746216,7.18287992477417,0.5168640000192681,7.97784699989279,10.629283918009605
1,9.691799000393075,0.5434340000647353,0.15430899929924635,1.2637239997275174,0.1239359974861145,6.699456214904785,0.44660599996859673,7.394811000267509,9.231465211450995
2,7.880805999775475,0.5557369995585759,0.14168399957270594,1.3089889998809667,0.13043199479579926,6.676767826080322,0.4550479998215451,7.3811470001601265,9.268657819709915
3,6.499430000076245,0.4951589999109274,0.1392049998685252,1.2211009998281952,0.12147200107574463,6.298272132873535,0.4177410000920645,6.953682000130357,8.692950133648992
4,5.520251000234566,0.49232000037591206,0.13642600060848054,1.247765000698564,0.1249919980764389,6.3205437660217285,0.42325499998696614,6.979256000704481,8.74530176576809
5,7.3525870002413285,0.5392960001699976,0.14648599972133525,1.2584680007421412,0.1305599957704544,6.530335903167725,0.43089999962830916,7.21416299984412,9.036045899199962
6,5.969188000563008,0.5130340005052858,0.13830999978381442,1.1779750002460787,0.11414399743080139,6.149216175079346,0.4159520003668149,6.787067000004754,8.508631173412141
7,6.854848999864771,0.5300009997881716,0.14180700054566842,1.253583000107028,0.12774400413036346,6.427231788635254,0.41503099964756984,7.0811989999128855,8.895397792854055
8,7.233350999740651,0.4802769999514567,0.13420200048130937,1.2202489997434895,0.11910399794578552,6.2566399574279785,0.44581000020116335,6.934458999239723,8.656281955751183
9,6.347399000333098,0.5170479998923838,0.14020500020706095,1.2933650004924857,0.13011200726032257,6.435711860656738,0.42422599926794646,7.10454000000027,8.940667867776938
10,6.963265000194951,0.46179599939932814,0.13713000043935608,1.2677059994530282,0.12697599828243256,6.082816123962402,0.4202469999654568,6.744432000232337,8.496671121502004
11,5.942944000707939,0.5119289999129251,0.13278599999466678,1.18652099990868,0.13100799918174744,7.56063985824585,0.4443239995453041,8.242873999734002,9.967207856789173
12,6.157353000162402,0.5135700002938393,0.11712700052157743,1.2134490007156273,0.12281599640846252,6.262784004211426,0.3894459996445221,6.883785000354692,8.619192001795454
13,6.97992100049305,0.4695960005847155,0.13038199995207833,1.1373389997970662,0.1191679984331131,6.005311965942383,0.39424700025847415,6.625607999922067,8.25604396496783
14,6.294381999396137,0.48363399946538266,0.1383220005664043,1.1595760006457567,0.1215360015630722,6.059264183044434,0.44469800013757776,6.894174000080966,8.407030185422627
15,10.088479999467381,0.5152310004632454,0.13722399944526842,1.2766219997502048,0.13145600259304047,6.444640159606934,0.43728000036935555,7.126594000510522,8.942453162228048
16,5.986090999613225,0.4675069994846126,0.13155600026948377,1.2183850003566477,0.12371200323104858,6.472256183624268,0.4153300005782512,7.123927000066033,8.828746187544311
17,6.0358020000421675,0.5016510003770236,0.13650100027007284,1.228137999532919,0.1225920021533966,6.12556791305542,0.40178400013246574,6.760751999536296,8.516233915521298
18,6.265196000640572,0.48067399984574877,0.13406999914877815,1.2134279995734687,0.12188799679279327,6.308608055114746,0.4126049998376402,6.956969999919238,8.671273050313175
