step_idx,read_points,pre_processing,h2d,forward,postprocess,full_frame,T_rt
0,27.021594811230898,23.192163091152906,1.6252800226211548,27.591520309448242,1.7496468499302864,33.35857577621937,54.15861027315259
1,16.983465291559696,57.6303219422698,2.644479990005493,41.45257568359375,1.878133974969387,46.46144900470972,103.60551159083843
2,19.8438442312181,52.51382617279887,2.025183916091919,41.63907241821289,1.931473147124052,46.047134790569544,98.10955565422773
3,17.642784398049116,50.39412993937731,2.0074880123138428,40.682430267333984,3.4779058769345284,46.616192907094955,96.56195409595966
4,20.204973872750998,83.63546198233962,2.509984016418457,40.66524887084961,1.0056612081825733,44.55556580796838,127.81635607779026
5,21.567316260188818,89.0789171680808,3.1316800117492676,43.77145767211914,1.718847081065178,49.41518371924758,137.7009019330144
6,18.98992620408535,38.29919919371605,1.5346239805221558,28.877504348754883,1.454886980354786,32.209313940256834,70.16621450334787
7,18.824433907866478,48.66242315620184,1.9745279550552368,40.25459289550781,2.0428327843546867,44.7410698980093,92.93437679111958
8,19.27033020183444,63.609825912863016,2.0797119140625,40.22700881958008,1.8050088547170162,44.51257595792413,107.72155550122261
9,16.20166515931487,92.93900383636355,2.4747838973999023,36.22217559814453,0.924757681787014,39.96780002489686,132.560721013695
10,16.711099073290825,79.85111465677619,2.333695888519287,39.5153923034668,1.8844762817025185,44.161805883049965,123.58467913046479
11,16.113738995045424,62.756306026130915,1.5239039659500122,36.71583938598633,1.4126189053058624,39.988989010453224,102.40866828337312
12,16.983916983008385,67.32228398323059,1.8951679468154907,33.33427047729492,1.4017308130860329,36.97168594226241,103.95345322042704
13,13.548721093684435,51.965733990073204,1.7115520238876343,33.932159423828125,1.461828127503395,37.43734676390886,89.07127356529236
14,24.00125004351139,43.353325221687555,1.633504033088684,33.31747055053711,1.6048643738031387,36.90451383590698,79.90916417911649
15,12.918429914861917,59.90126496180892,1.9265919923782349,33.22723388671875,1.5490618534386158,37.05516504123807,96.60415269434452
16,14.685551170259714,39.34486489742994,1.521664023399353,32.644798278808594,1.4246432110667229,35.91212769970298,74.93597041070461
17,13.691077008843422,54.09910203889012,1.683135986328125,33.15292739868164,1.4188969507813454,36.58345201984048,90.35406237468123
18,13.205385766923428,33.981024753302336,1.4866559505462646,34.32707214355469,1.5195691958069801,37.666579242795706,71.31432204321027
19,13.938555959612131,53.97614510729909,1.5763200521469116,32.145023345947266,1.6114157624542713,35.658170003443956,89.30890426784754
20,13.307030778378248,36.53996391221881,1.4114240407943726,31.868864059448242,1.4727828092873096,35.07395414635539,71.29303482174873
21,12.99059297889471,47.950486186891794,1.5777599811553955,33.714622497558594,1.4482289552688599,37.115744315087795,84.69109762087464
22,14.368003234267235,42.50882985070348,1.7297919988632202,35.33964920043945,1.5839370898902416,39.028875064104795,81.16220813989639
23,14.43680003285408,39.49553379788995,1.6166399717330933,32.92793655395508,1.4963340945541859,36.374886985868216,75.5364444181323
24,16.531346831470728,56.53984285891056,1.7856639623641968,34.96691131591797,1.5736408531665802,38.6742502450943,94.8660589903593
25,18.33412516862154,54.544213227927685,1.7887680530548096,34.07622528076172,1.5115691348910332,37.74828324094415,91.92077569663525
26,15.467834193259478,65.29083708301187,1.8701759576797485,33.89932632446289,1.473945565521717,37.595035042613745,102.53428493067622
27,13.228869996964931,61.773874796926975,1.8076800107955933,32.90313720703125,1.459399238228798,36.487606819719076,97.94409125298262
28,11.814288794994354,46.42187571153045,1.739456057548523,37.761985778808594,1.7246296629309654,41.63918970152736,87.64794721081853
29,13.956338167190552,52.54150880500674,1.818560004234314,38.878753662109375,1.7629759386181831,42.782832868397236,95.00179840996861
30,19.812426064163446,42.12894290685654,1.7259520292282104,36.88627243041992,1.5795589424669743,40.641967207193375,82.32072630897164
31,14.0089001506567,58.332083746790886,1.8096959590911865,34.80313491821289,1.5131710097193718,38.46925497055054,96.45808563381433
32,15.03840833902359,61.402072198688984,1.9764480590820312,34.9351692199707,1.5608388930559158,38.81965298205614,99.87452837079763
33,16.04327792301774,98.44504995271564,3.0279359817504883,31.390975952148438,1.2998571619391441,44.129191897809505,134.1638190485537
34,20.22721292451024,86.03688795119524,2.576512098312378,40.08371353149414,1.1036409996449947,44.159920420497656,129.80075458064675
35,19.960722886025906,134.00657242164016,1.6218880414962769,27.3855037689209,1.1441819369792938,30.559225007891655,164.15814616903663
36,20.401795860379934,105.59841804206371,2.6998720169067383,30.40608024597168,0.9847781620919704,34.53306574374437,139.6891484670341
37,17.693724017590284,68.49550502374768,2.353856086730957,42.55923080444336,1.8750890158116817,47.2543747164309,115.28368093073368
38,20.28736611828208,81.53230603784323,2.420799970626831,41.468353271484375,1.075423788279295,45.35370599478483,126.49688306823373
