step_idx,dataloader,h2d,forward,postprocess,full_frame
0,8.252447936683893,7.631296157836914,73.89558410644531,3.5011149011552334,92.52706216648221
1,0.5376618355512619,5.424448013305664,58.77385711669922,1.0835593566298485,67.78420228511095
2,0.3812583163380623,6.830175876617432,85.7959976196289,2.216363325715065,97.3417847417295
3,0.5782083608210087,6.367648124694824,56.790687561035156,2.055923920124769,67.82953068614006
4,0.5435440689325333,5.009183883666992,53.446815490722656,1.8954291008412838,62.929794657975435
5,0.5112220533192158,5.79695987701416,167.2770233154297,1.994619145989418,177.58952919393778
6,0.5346699617803097,3.9096319675445557,72.827392578125,1.56315416097641,78.72286718338728
7,56.686473079025745,2.08134388923645,47.614593505859375,1.8945513293147087,52.18541668727994
8,0.46446407213807106,4.663680076599121,73.36089324951172,1.9989199936389923,82.543620839715
9,192.9327640682459,2.755136013031006,34.561824798583984,1.6563590615987778,39.474239107221365
10,72.2234626300633,2.2154879570007324,155.5061492919922,1.1731837876141071,159.29315565153956
11,0.2982262521982193,6.884928226470947,54.15420913696289,1.7392933368682861,65.23738335818052
12,0.45396527275443077,5.768959999084473,88.20873260498047,2.5812978856265545,99.1281932219863
13,0.493836123496294,6.760511875152588,103.35139465332031,1.9576619379222393,114.63435413315892
14,0.5898289382457733,5.212063789367676,57.0810546875,2.3641008883714676,67.21109431236982
15,0.7090619765222073,5.633312225341797,55.871742248535156,2.247503027319908,66.30093092098832
16,8.85173724964261,9.517791748046875,100.18396759033203,2.419576980173588,114.76047616451979
17,0.9535145945847034,1.5513919591903687,51.999263763427734,1.9509298726916313,55.9196388348937
18,0.506324227899313,4.824063777923584,50.97340774536133,1.606340054422617,59.876023791730404
19,0.4084846004843712,2.789344072341919,53.862815856933594,1.7954478971660137,60.93446398153901
20,0.41582901030778885,1.9480639696121216,51.36076736450195,1.5928000211715698,55.25290593504906
21,0.34834956750273705,6.160064220428467,40.608158111572266,1.609833911061287,50.84943678230047
22,0.528290867805481,3.51200008392334,102.54694366455078,2.2092177532613277,110.86672777310014
23,0.5432711914181709,2.781183958053589,105.89167785644531,1.9924072548747063,111.15474812686443
24,22.578774951398373,5.120063781738281,49.507774353027344,1.732048112899065,58.87237889692187
25,1.193793024867773,3.534303903579712,42.688575744628906,1.6553732566535473,50.4387067630887
26,0.4563671536743641,10.026304244995117,36.85500717163086,2.0189927890896797,49.29485730826855
27,0.5200430750846863,2.5346879959106445,34.300865173339844,1.6430281102657318,38.89191523194313
28,55.8821908198297,5.609695911407471,83.30204772949219,1.7894720658659935,93.26976677402854
29,15.754572115838528,4.980192184448242,94.77021026611328,1.6944007948040962,103.95093774423003
30,0.5186237394809723,5.7994561195373535,54.341217041015625,1.7379112541675568,64.44676779210567
31,0.45327795669436455,5.716991901397705,56.84096145629883,1.5790467150509357,66.65432127192616
32,8.454661816358566,6.336832046508789,60.63225555419922,1.8654409795999527,71.33710430935025
33,139.6860838867724,5.846399784088135,64.8246078491211,2.1780170500278473,75.54404716938734
34,0.7212013006210327,6.825920104980469,123.31238555908203,2.0397319458425045,194.0452717244625
35,0.5873721092939377,2.7549760341644287,44.20387268066406,2.027811948210001,49.361457116901875
36,0.5336496978998184,3.026304006576538,43.52422332763672,1.8773917108774185,49.009526148438454
37,0.518434215337038,2.345695972442627,39.16912078857422,1.901376061141491,44.19240867719054
38,0.5021193064749241,2.803936004638672,42.951934814453125,1.9918489269912243,48.261962831020355
39,96.20849695056677,3.959968090057373,167.2631072998047,2.6708822697401047,174.4977761991322
